iter	Passed	Remaining
0	4	4285
1	8	4134
2	12	3990
3	15	3946
4	19	3897
5	23	3889
6	27	3923
7	31	3892
8	35	3883
9	38	3845
10	42	3806
11	46	3788
12	49	3756
13	53	3783
14	57	3768
15	61	3802
16	65	3786
17	69	3772
18	73	3780
19	76	3750
20	80	3755
21	84	3737
22	87	3733
23	91	3718
24	95	3725
25	99	3712
26	102	3696
27	106	3691
28	109	3666
29	113	3661
30	117	3663
31	120	3660
32	124	3652
33	128	3645
34	131	3633
35	135	3630
36	139	3620
37	142	3604
38	146	3609
39	149	3598
40	153	3596
41	157	3596
42	161	3591
43	164	3580
44	168	3580
45	172	3574
46	175	3563
47	180	3582
48	184	3572
49	187	3564
50	191	3566
51	195	3555
52	198	3546
53	202	3541
54	205	3537
55	209	3529
56	213	3534
57	217	3525
58	220	3519
59	224	3519
60	228	3510
61	231	3500
62	235	3495
63	238	3487
64	241	3478
65	245	3477
66	249	3470
67	252	3466
68	256	3460
69	259	3453
70	263	3446
71	267	3447
72	270	3439
73	274	3432
74	277	3425
75	281	3419
76	284	3412
77	288	3410
78	292	3406
79	295	3401
80	299	3397
81	302	3386
82	306	3382
83	310	3380
84	313	3376
85	316	3368
86	320	3368
87	324	3362
88	328	3357
89	331	3353
90	335	3349
91	339	3348
92	342	3343
93	346	3337
94	349	3329
95	353	3328
96	357	3330
97	364	3353
98	367	3347
99	371	3343
100	374	3337
101	378	3330
102	381	3323
103	385	3320
104	389	3318
105	393	3315
106	396	3309
107	400	3307
108	404	3305
109	408	3303
110	412	3300
111	415	3294
112	419	3290
113	422	3285
114	426	3280
115	429	3275
116	433	3271
117	436	3264
118	440	3260
119	443	3255
120	447	3252
121	450	3244
122	454	3241
123	458	3237
124	461	3232
125	465	3229
126	468	3223
127	472	3217
128	475	3213
129	479	3210
130	483	3204
131	486	3200
132	491	3202
133	495	3204
134	500	3203
135	504	3204
136	508	3202
137	512	3201
138	516	3200
139	520	3198
140	525	3203
141	529	3199
142	533	3195
143	537	3195
144	541	3193
145	546	3195
146	551	3202
147	556	3205
148	560	3200
149	563	3195
150	567	3188
151	572	3192
152	575	3185
153	579	3181
154	582	3174
155	586	3174
156	590	3170
157	593	3164
158	597	3160
159	600	3154
160	605	3154
161	608	3147
162	613	3149
163	616	3144
164	620	3140
165	624	3136
166	627	3131
167	631	3126
168	634	3120
169	638	3116
170	641	3110
171	645	3107
172	648	3101
173	652	3096
174	655	3089
175	659	3085
176	662	3078
177	665	3074
178	668	3067
179	672	3064
180	675	3057
181	679	3052
182	682	3046
183	685	3042
184	689	3037
185	692	3032
186	696	3026
187	699	3021
188	702	3016
189	706	3011
190	709	3005
191	712	3000
192	715	2993
193	719	2989
194	722	2983
195	726	2979
196	729	2974
197	733	2971
198	736	2965
199	740	2960
200	743	2953
201	746	2948
202	749	2942
203	752	2937
204	755	2931
205	759	2926
206	762	2921
207	765	2916
208	768	2909
209	772	2905
210	775	2899
211	779	2896
212	782	2890
213	785	2886
214	789	2882
215	793	2880
216	796	2874
217	799	2869
218	803	2863
219	806	2859
220	809	2854
221	812	2848
222	816	2843
223	819	2839
224	823	2834
225	826	2831
226	830	2826
227	833	2821
228	836	2816
229	839	2811
230	842	2806
231	846	2800
232	849	2796
233	852	2791
